robot,sim_env,test_type,NavTime Mean (s),NavTime Std (s),CPU Mean (%),CPU Std (%),GPU Mean (%),GPU Std (%),RTF Mean,RTF Std
novamob,gazebo_classic,baseline,97.96000000000001,0.6317172363222844,8.598,1.0393352576420067,34.376,2.8570622052108794,1.0,0.0
novamob,gazebo_classic,dynamic,105.173,8.042943145667786,8.725,0.6663540933901266,38.004000000000005,4.658712745431342,0.99971,7.378647873723651e-05
novamob,gazebo_classic,static,106.502,10.252338269877754,8.489999999999998,1.10662650529536,38.297000000000004,5.291519525513338,1.0,0.0
novamob,gazebo_fortress,baseline,113.082,4.295115572109532,18.665,1.411659779597525,31.942,2.900405335657604,0.9632099999999999,0.008116984935580739
novamob,gazebo_fortress,dynamic,108.03899999999999,3.266994711419727,17.874000000000002,0.25255142490633903,32.336,0.8541558535900964,0.9682000000000001,0.001994993734326042
novamob,gazebo_fortress,static,112.25399999999999,3.140442997766754,18.307,0.6365366359361331,30.926,0.49497923637708763,0.96366,0.001431549277298316
novamob_unoptimized,gazebo_fortress,baseline,163.738,12.473525564169899,25.855,1.063800837667568,30.411,0.2657672331613184,0.62702,0.04065174043014636
novamob_unoptimized,gazebo_fortress,dynamic,154.14000000000001,7.278015602560299,24.779000000000003,1.1945752383169495,26.226,0.9717704347106747,0.65122,0.01456653699408339
novamob_unoptimized,gazebo_fortress,static,161.4909090909091,3.3291814445759838,25.95,1.0010194803299275,28.874545454545455,0.21073033176852593,0.6636090909090909,0.009068125996638414
scout,gazebo_classic,baseline,109.64000000000001,8.16725440061986,8.108,0.41268228295707904,33.06,3.077708382691396,1.0,0.0
scout,gazebo_classic,dynamic,136.748,12.55356151323865,8.587,0.5555187765603528,34.485,4.6015752133855665,0.9997400000000001,9.66091783079226e-05
scout,gazebo_classic,static,119.023,4.9986577087143,7.973999999999999,0.34740946062727385,37.980000000000004,1.681540299183394,1.0,0.0
scout,gazebo_fortress,baseline,100.38181818181819,5.663295539139414,19.746363636363636,5.909523284880554,31.61818181818182,5.717735247773925,0.9648363636363636,0.012417348567812096
scout,gazebo_fortress,dynamic,106.75,9.399228100694703,17.881,0.46412282857019643,32.659,4.060871417155026,0.9669399999999999,0.002470807335445004
scout,gazebo_fortress,static,111.69800000000001,14.95525088017212,17.866999999999997,0.5472161872199649,33.995999999999995,8.489715608376473,0.96682,0.005038915227176059
scout_unoptimized,gazebo_fortress,baseline,165.575,11.029805327183043,24.223,0.3973537466792019,28.77,0.6822348894951382,0.65352,0.030258802208797165
scout_unoptimized,gazebo_fortress,dynamic,141.765,0.6858935777509403,25.88,1.03237590053236,28.83,0.7778174593051995,0.7623500000000001,0.04603265145524424
scout_unoptimized,gazebo_fortress,static,161.512,8.92424898801014,25.086000000000002,2.00115716524215,28.68,2.0243146988548975,0.65488,0.03302797299260127
